iter	Passed	Remaining
398	98000	147614
399	98232	147349
400	98461	147078
401	98690	146808
402	98917	146535
403	99143	146261
404	99367	145983
405	99592	145708
406	99817	145434
407	100046	145165
408	100275	144896
409	100505	144629
410	100737	144365
411	100965	144096
412	101195	143829
413	101429	143569
414	101655	143297
415	101881	143025
416	102109	142757
417	102340	142492
418	102568	142224
419	102796	141957
420	103023	141687
421	103248	141416
422	103474	141145
423	103705	140883
424	103932	140614
425	104164	140352
426	104395	140090
427	104622	139822
428	104849	139554
429	105077	139288
430	105301	139017
431	105532	138756
432	105761	138491
433	105989	138225
434	106216	137958
435	106442	137691
436	106668	137424
437	106898	137161
438	107129	136901
439	107359	136639
440	107587	136374
441	107816	136111
442	108041	135843
443	108273	135585
444	108501	135321
445	108750	135084
446	108999	134847
447	109242	134602
448	109476	134345
449	109704	134083
450	109928	133815
451	110153	133549
452	110381	133286
453	110611	133025
454	110838	132762
455	111060	132493
456	111290	132234
457	111518	131972
458	111742	131705
459	111972	131446
460	112211	131197
461	112447	130944
462	112679	130688
463	112913	130434
464	113152	130185
465	113392	129939
466	113620	129678
467	113856	129427
468	114094	129177
469	114332	128927
470	114561	128669
471	114794	128413
472	115021	128152
473	115262	127907
474	115498	127656
475	115730	127400
476	115955	127138
477	116178	126872
478	116410	126618
479	116635	126355
480	116871	126104
481	117111	125858
482	117351	125612
483	117597	125372
484	117827	125115
485	118073	124876
486	118303	124619
487	118536	124366
488	118776	124120
489	119033	123891
490	119286	123659
491	119523	123410
492	119776	123178
493	120023	122939
494	120275	122705
495	120535	122480
496	120796	122254
497	121046	122018
498	121299	121785
499	121541	121541
500	121782	121296
501	122031	121058
502	122277	120818
503	122534	120589
504	122781	120350
505	123030	120112
506	123273	119869
507	123515	119624
508	123750	119373
509	123996	119133
510	124233	118884
511	124469	118634
512	124702	118382
513	124933	118128
514	125170	117879
515	125403	117626
516	125631	117369
517	125866	117118
518	126113	116879
519	126361	116641
520	126614	116407
521	126866	116173
522	127112	115932
523	127358	115691
524	127601	115449
525	127837	115199
526	128070	114947
527	128298	114691
528	128527	114435
529	128755	114179
530	128983	113923
531	129207	113663
532	129432	113405
533	129662	113150
534	129892	112897
535	130121	112642
536	130354	112391
537	130586	112138
538	130818	111887
539	131045	111631
540	131295	111394
541	131530	111145
542	131761	110893
543	131989	110638
544	132220	110385
545	132448	110131
546	132684	109883
547	132918	109633
548	133151	109383
549	133384	109132
550	133624	108888
551	133865	108644
552	134094	108390
553	134327	108141
554	134562	107892
555	134793	107640
556	135026	107391
557	135258	107139
558	135487	106887
559	135724	106640
560	135956	106390
561	136193	106143
562	136429	105896
563	136659	105644
564	136888	105392
565	137119	105140
566	137349	104889
567	137579	104638
568	137809	104386
569	138039	104134
570	138274	103887
571	138502	103634
572	138730	103382
573	138960	103130
574	139194	102882
575	139425	102632
576	139654	102380
577	139885	102131
578	140118	101882
579	140354	101635
580	140587	101387
581	140819	101138
582	141061	100896
583	141290	100645
584	141528	100400
585	141757	100149
586	141985	99897
587	142213	99646
588	142447	99398
589	142672	99145
590	142896	98890
591	143128	98642
592	143369	98400
593	143626	98168
594	143867	97926
