iter	MultiClass
0	1.677831076
1	1.415952558
2	1.246469594
3	1.115424552
4	1.015240047
5	0.9368864838
6	0.8694273074
7	0.8145941977
8	0.7662364686
9	0.7256714651
10	0.691197306
11	0.6605480365
12	0.6330276695
13	0.6086550126
14	0.587634633
15	0.5691397423
16	0.5516244429
17	0.5367909296
18	0.5239566968
19	0.5123577284
20	0.5017614642
21	0.4917405147
22	0.4831338229
23	0.4751765635
24	0.4678116574
25	0.461384465
26	0.4539403307
27	0.448840211
28	0.4430538638
29	0.4384889308
30	0.4336191998
31	0.4300004395
32	0.4266161494
33	0.4220837956
34	0.4184530017
35	0.4148722856
36	0.4124103568
37	0.4096685005
38	0.4077127203
39	0.4056305336
40	0.4036702097
41	0.4020047719
42	0.3999859456
43	0.3981929234
44	0.3974775351
45	0.395788789
46	0.3940299967
47	0.392802168
48	0.3916889769
49	0.3899509474
50	0.3883662845
51	0.3866454601
52	0.3852961375
53	0.3839233696
54	0.3829166148
55	0.3812277471
56	0.3794088666
57	0.3785915461
58	0.3777367306
59	0.3770747375
60	0.3765758681
61	0.3754697362
62	0.3749562653
63	0.3737554578
64	0.3729267293
65	0.3722568953
66	0.3711768953
67	0.3705118672
68	0.3696992835
69	0.3692645151
70	0.3688720738
71	0.3685404548
72	0.3679147078
73	0.3676203243
74	0.3671577598
75	0.3666556023
76	0.365786135
77	0.36534864
78	0.3645109108
79	0.3641176762
80	0.3639312042
81	0.3632684834
82	0.3630209234
83	0.3625525821
84	0.3621624326
85	0.3617051102
86	0.3610180638
87	0.3609369317
88	0.3607715484
89	0.3606564025
90	0.3602841708
91	0.3601041027
92	0.3597472747
93	0.359625275
94	0.359522961
95	0.3592742761
96	0.3590120304
97	0.3583572786
98	0.3578136278
99	0.3577040407
100	0.3575079095
101	0.3572871394
102	0.3568814086
103	0.3564090383
104	0.3561830874
105	0.3557799486
106	0.3556684551
107	0.3554327867
108	0.3553166559
109	0.355013556
110	0.354668674
111	0.3545299729
112	0.35429712
113	0.3541503306
114	0.3538105611
115	0.3535760137
116	0.3534179921
117	0.353281428
118	0.3529805917
119	0.3525094607
120	0.3524167771
121	0.3518974881
122	0.351364196
123	0.3512938709
124	0.3511066296
125	0.3506882346
126	0.3503036377
127	0.35016124
128	0.3499831218
129	0.349746848
130	0.3494554671
131	0.3492701291
132	0.3492178724
133	0.349100428
134	0.3487386415
135	0.3484920742
136	0.3483395219
137	0.3482057696
138	0.3481412234
139	0.3477808701
140	0.3476275068
141	0.3475353487
142	0.3471337093
143	0.3468359507
144	0.3466663262
145	0.3464019195
146	0.3460791879
147	0.345909173
148	0.3456568977
149	0.3454240003
150	0.3451718302
151	0.3449500317
152	0.3448415586
153	0.3446216537
154	0.344392659
155	0.3442328403
156	0.3441392492
157	0.3440133272
158	0.3437772315
159	0.3435878616
160	0.3434404834
161	0.3433270651
162	0.3431659258
163	0.3430545026
164	0.3428633846
165	0.3427664694
166	0.3425964669
167	0.3425036621
168	0.3424325883
169	0.3422985575
170	0.3422657603
171	0.3421514141
172	0.3420098792
173	0.3418254149
174	0.3416612264
175	0.3412863544
176	0.3410398211
177	0.3408959717
178	0.3408607542
179	0.3407642115
180	0.3406783171
181	0.340436922
182	0.3403980037
183	0.3402413146
184	0.3401105279
185	0.340049401
186	0.3399902632
187	0.3398413695
188	0.3397963717
189	0.3396809155
190	0.3395841833
191	0.3395146975
192	0.339391861
193	0.3393362087
194	0.3393111531
195	0.3392438683
196	0.339089881
197	0.3389553397
198	0.3388757849
199	0.3387486183
200	0.3386621763
201	0.3383717037
202	0.3383114938
203	0.3382541884
204	0.3380868556
205	0.3378802372
206	0.3378113811
207	0.3377615757
208	0.3376738981
209	0.3376306561
210	0.3372744936
211	0.3371147803
212	0.3369959694
213	0.3369351016
214	0.3367865197
215	0.336619518
216	0.3363486117
217	0.3361802849
218	0.3361243403
219	0.3360255806
220	0.3359652643
221	0.3358664474
222	0.3358491956
223	0.3358334488
224	0.3357887948
225	0.3356523122
226	0.335548776
227	0.3352330901
228	0.3350539402
229	0.3350120366
230	0.334967995
231	0.3348981417
232	0.334849273
233	0.3346917337
234	0.3346032912
235	0.334565606
236	0.3345391376
237	0.334428364
238	0.3343266773
239	0.3342763658
240	0.3342419235
241	0.3342154715
242	0.3340744731
243	0.3340499603
244	0.3340074576
245	0.3338114145
246	0.3337718193
247	0.3336025561
248	0.3335705264
249	0.3335258518
250	0.3334566117
251	0.3333619108
252	0.3333046406
253	0.3331399188
254	0.3330230036
255	0.3329256524
256	0.3328461054
257	0.332725782
258	0.332702399
259	0.332570968
260	0.3325226024
261	0.3324826438
262	0.3324149218
263	0.3323795788
264	0.332203386
265	0.3321678546
266	0.3321136109
267	0.3320244834
268	0.3319677732
269	0.3319275978
270	0.3318683345
271	0.3316431133
272	0.3316025266
273	0.331545514
274	0.3315361697
275	0.3312642511
276	0.3311094921
277	0.3310087783
278	0.3309070099
279	0.3308902617
280	0.3308684494
281	0.3307721178
282	0.3307410703
283	0.3307017574
284	0.3306162221
285	0.3306009089
286	0.3305869706
287	0.3304840562
288	0.3303455713
289	0.3303183591
290	0.3301723798
291	0.3301039816
292	0.330082859
293	0.3300417005
294	0.3299784235
295	0.329864498
296	0.3298303008
297	0.3297634893
298	0.3297122695
299	0.3296948868
300	0.3296157495
301	0.3295717501
302	0.3295282954
303	0.3295071996
304	0.3294822725
305	0.3293874057
306	0.3292817591
307	0.3292618544
308	0.3292168332
309	0.3291840991
310	0.329124412
311	0.329062592
312	0.3290281768
313	0.3290092897
314	0.3289762952
315	0.3288667139
316	0.3288497712
317	0.3287463072
318	0.3287196878
319	0.328668753
320	0.3286593007
321	0.3286092419
322	0.3285570165
323	0.3284458478
324	0.3284073048
325	0.3283810398
326	0.3283045658
327	0.3282638161
328	0.3282011519
329	0.3281288179
330	0.3280932393
331	0.3280817302
332	0.3280640636
333	0.3278297502
334	0.3277828506
335	0.3277540813
336	0.3277305307
337	0.3277200393
338	0.327672781
339	0.327668147
340	0.3276379065
341	0.3276280421
342	0.3275509459
343	0.3275335315
344	0.3274285743
345	0.3274073938
346	0.3273540834
347	0.3273428008
348	0.3273268496
349	0.3273017531
350	0.3272851875
351	0.3272356624
352	0.3271739472
353	0.3271459117
354	0.3271251633
355	0.3270833467
356	0.327018443
357	0.3269791148
358	0.3269437554
359	0.3269308432
360	0.3268855499
361	0.3268109054
362	0.3267577401
363	0.3267159734
364	0.3266845299
365	0.326615609
366	0.3265381021
367	0.3264894782
368	0.3264207526
369	0.3262987455
370	0.3262310478
371	0.326209107
372	0.3261184325
373	0.3261087793
374	0.3260969071
375	0.326037492
376	0.3260139802
377	0.3259795891
378	0.3259595117
379	0.3258146841
380	0.325798045
381	0.3257608164
